pressure
Abrasion bottom trawl
Anoxia background
Bird hunt
Catch bottom trawl
Catch coastal trapnet
Catch gillnet
Catch pelagic trawl
Catch recreation
Disease
Disturbance wind power
Electromagnetic field
Explosion peak
Explosion sound exposure level (SEL)
Habitat loss coastal exploitation
Habitat loss dumping
Habitat loss fish farm
Habitat loss infrastructure
Habitat loss mussel farm
Habitat loss sand extraction
Heavy metals background
Heavy metals fibre bank
Heavy metals military area
Manganese nodule extraction
Marine litter
Migration barrier
NIS introduction
Nitrogen background
Noise 125 Hz shipping
Noise 125 Hz wind power
Noise 2000 Hz shipping
Noise boating
Nutrients fish farm
Ocean acidification
Ocean acidification 2050
Oil spill industry
Oil spill shipping
Oil spill wreck
Parasites
Phosphorus background
Pollution boating
Seal hunt
Synthetic toxins background
Synthetic toxins harbour
Synthetic toxins industry
Synthetic toxins treatment plant
Temperature increase
Temperature increase 2050
Toxic munition dump
Turbidity bottom trawl
Turbidity sand extraction
Turbidity shipping
