component
Bird - Benthic feeders
Bird - Coastal bird
Bird - Grazers
Bird - Pelagic feeders
Bird - Seabird coastal wintering
Bird - Surface feeders
Bird - Waders
Fish - Bream
Fish - Cod
Fish - Dab
Fish - Eel
Fish - Flounder
Fish - Herring
Fish - Perch
Fish - Pike
Fish - Plaice
Fish - Roach
Fish - Salmon
Fish - Sandeel
Fish - Smelt
Fish - Sprat
Fish - Trout
Fish - Turbot
Fish - Vendace
Fish - Whitefish
Fish - Whiting
Fish - Zander
Fish Function - Eel migration
Fish Function - Fish spawning
Fish Function - Rivermouth fish
Habitat - Anadromous fish pathways
Habitat - Estuaries
Habitat - Hard bottom aphotic
Habitat - Hard bottom deep
Habitat - Hard bottom photic
Habitat - Lagoons
Habitat - Plankton pelagic community
Habitat - Reed
Habitat - Rough bottom aphotic
Habitat - Rough bottom deep
Habitat - Rough bottom photic
Habitat - Shoreline
Habitat - Soft bottom aphotic
Habitat - Soft bottom deep
Habitat - Soft bottom photic
Habitat - Transport bottom aphotic
Habitat - Transport bottom deep
Habitat - Transport bottom photic
Mammal - Grey seal
Mammal - Harbour porpoise Baltic Sea
Mammal - Harbour porpoise Belt Sea
Mammal - Harbour seal
Mammal - Ringed seal
Plant - Angiosperms (other SAVs)
Plant - Angiosperms (seagrass)
Plant - Macroalgae
Reef habitat - Artificial reef
Reef habitat - Deep reef
Reef habitat - Mussel reef
Reef habitat - Shallow reef
